time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-02-19 00:00:00+00:00,,,14,6
2022-02-20 00:00:00+00:00,,,320,50
2022-02-21 00:00:00+00:00,1.0,1.0,108,37
2022-02-22 00:00:00+00:00,,,142,36
2022-02-23 00:00:00+00:00,2.0,2.0,100,25
2022-02-24 00:00:00+00:00,,,133,31
2022-02-25 00:00:00+00:00,,,53,29
2022-02-26 00:00:00+00:00,,,116,41
2022-02-27 00:00:00+00:00,1.0,1.0,77,30
2022-02-28 00:00:00+00:00,,,78,36
2022-03-01 00:00:00+00:00,,,55,23
2022-03-02 00:00:00+00:00,1.0,1.0,140,32
2022-03-03 00:00:00+00:00,,,115,33
2022-03-04 00:00:00+00:00,6.0,4.0,334,70
2022-03-05 00:00:00+00:00,3.0,2.0,292,45
