url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,97,63
/Declipsonator/Meteor-Tweaks/releases,28,20
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.1,21,16
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,15,5
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,13,6
/Declipsonator/Meteor-Tweaks/tree/main/src/main,11,6
/Declipsonator/Meteor-Tweaks/issues,7,5
/Declipsonator/Meteor-Tweaks/tree/v2.0.1,4,2
/Declipsonator/Meteor-Tweaks/blob/main/src/main/java/me/declipsonator/meteortweaks/utils/GithubUtils.java,4,1
/Declipsonator/Meteor-Tweaks/issues/11,3,3
