time_iso8601,stars_cumulative
2021-12-24 00:00:00+00:00,2
2021-12-25 00:00:00+00:00,3
2021-12-27 00:00:00+00:00,4
2022-01-22 00:00:00+00:00,5
2022-01-26 00:00:00+00:00,6
2022-01-27 00:00:00+00:00,7
2022-01-29 00:00:00+00:00,8
2022-02-04 00:00:00+00:00,9
2022-02-07 00:00:00+00:00,11
2022-02-13 00:00:00+00:00,12
2022-02-14 00:00:00+00:00,15
2022-02-15 00:00:00+00:00,16
2022-02-16 00:00:00+00:00,17
2022-02-18 00:00:00+00:00,18
2022-02-19 00:00:00+00:00,19
2022-02-21 00:00:00+00:00,22
2022-02-25 00:00:00+00:00,23
2022-02-26 00:00:00+00:00,24
2022-03-06 00:00:00+00:00,25
2022-03-07 00:00:00+00:00,27
2022-03-09 00:00:00+00:00,28
2022-03-14 00:00:00+00:00,29
2022-03-17 00:00:00+00:00,30
